,country,year,persons prosecuted,Adult victims,child victims,gdp,policy index
0,Argentina,2005.0,4.0,0.0,-7.17659915153442,3414053250.94549,10.0
1,Argentina,2003.0,8.0,0.0,43.16340084846546,17137000000.0,10.0
2,Argentina,2007.0,7.0,86.0,80.53340084846977,12292813800.5214,10.0
3,Armenia,2006.0,3.0,0.0,11.823400848465264,13120183156.7149,10.0
4,Armenia,2004.0,117.0,23.0,-5.006599151534466,7274424518.56764,8.0
5,Armenia,2004.0,0.0,13.0,67.58340084846314,30231130542.9832,10.0
6,Armenia,2005.0,11.0,0.0,39.49340084846619,2834168889.42019,8.0
7,australia,2006.0,0.0,885.0,18.233400848465525,49822651701.729004,5.0
8,australia,2003.0,20.0,584.0,-24.486599151535557,11512200000000.0,9.0
9,australia,2007.0,173.0,393.0,-24.476599151535556,124749736842.105,10.0
10,australia,2006.0,0.0,119.0,61.213400848461866,124346361618.639,13.0
11,australia,2006.0,0.0,95.0,-13.366599151534288,1554125542.56223,6.0
12,australia,2004.0,0.0,11.0,66.07340084846237,834215013605.0079,8.0
13,azerbaijan,2005.0,36.0,1157.0,-32.22659915153669,12277000000000.0,9.0
14,azerbaijan,2003.0,11.0,584.0,-39.52659915153524,107753069306.931,10.0
15,belarus,2003.0,11.0,239.0,29.743400848467324,122210719245.94199,14.0
16,belarus,2006.0,9.0,270.0,32.25340084846763,222105928740.596,8.0
17,belarus,2005.0,8.0,16.0,7.353400848465359,5337833255.9454,11.0
18,belarus,2006.0,0.0,32.0,-15.896599151534234,39136441798.9418,10.0
19,Bolivia,2004.0,0.0,350.0,113.2334008484865,13095400000000.0,10.0
20,Bolivia,2006.0,88.0,70.0,13.503400848465228,1055506156996.89,9.0
21,Bolivia,2005.0,41.0,145.0,-37.14659915153571,176351948403.90802,11.0
22,Brazil,2004.0,18.0,6.0,114.71340084848725,143533152129.483,10.0
23,Brazil,2004.0,65.0,0.0,64.24340084846143,3576615240.41616,10.0
24,Brazil,2007.0,29.0,55.0,5.793400848465392,78845185709.4117,9.0
25,Brazil,2004.0,0.0,0.0,13.973400848465218,1919012780.9708602,10.0
26,Brazil,2006.0,7.0,0.0,87.27340084847322,11451845341.2441,12.0
27,cambodia,2004.0,175.0,0.0,1.173400848465472,2023324407.30177,10.0
28,cambodia,2007.0,0.0,18.0,82.88340084847097,150985573252.839,8.0
29,cambodia,2006.0,3.0,0.0,-15.406599151534245,366976849.444881,10.0
30,cambodia,2004.0,15.0,0.0,-11.296599151534332,126571173583.22198,12.0
31,costa rica,2005.0,5.0,0.0,62.14340084846168,23141587717.7633,9.0
32,costa rica,2004.0,14.0,0.0,-1.65659915153453,30210091836.8294,9.0
33,costa rica,2006.0,189.0,0.0,111.83340084848578,4571866957195.37,7.0
34,dominican Republic,2006.0,96.0,125.0,66.09340084846238,693662607126.7479,7.0
35,dominican Republic,2004.0,8.0,270.0,84.23340084847166,382299140.37037003,5.0
36,dominican Republic,2007.0,0.0,1.0,54.383400848463225,2459876151.9333,13.0
37,dominican Republic,2007.0,27.0,1.0,121.80340084849088,59523857868.0203,8.0
38,dominican Republic,2005.0,6.0,0.0,-36.016599151535935,44530493222.1334,8.0
39,Egypt,2004.0,0.0,142.0,76.2834008484676,329761480066.765,10.0
40,Egypt,2006.0,112.0,63.0,107.53340084848358,89685724889.1628,11.0
41,Egypt,2004.0,0.0,10.0,24.60340084846652,12030023547.8807,11.0
42,Egypt,2006.0,32.0,2887.0,123.23340084849161,2807061008.69084,10.0
43,Egypt,2003.0,83.0,340.0,2.743400848465457,82923680621.5433,9.0
44,el salvador,2007.0,37.0,21.0,-22.00659915153517,256836883304.553,9.0
45,el salvador,2006.0,0.0,13.0,12.00340084846526,91371236939.2189,9.0
46,el salvador,2005.0,78.0,0.0,34.51340084846718,1011797986991.9,15.0
47,el salvador,2006.0,182.0,11.0,-31.27659915153662,2988172424.46608,11.0
48,georgia,2006.0,0.0,0.0,75.99340084846745,149359920006.4,10.0
49,georgia,2006.0,14.0,198.0,100.49340084847998,0.0,9.0
50,guatemala,2003.0,25844.0,0.0,102.76340084848114,618356467437.8671,10.0
51,guatemala,2003.0,3.0,21.0,0.46340084846547164,1992066758.8442302,7.0
52,guatemala,2003.0,3.0,21.0,-5.7965991515344495,1992066758.8442302,7.0
53,India,2003.0,3.0,21.0,-30.166599151536445,1992066758.8442302,7.0
54,India,2003.0,3.0,21.0,-42.2265991515347,1992066758.8442302,7.0
55,india,2003.0,3.0,21.0,113.66340084848672,1992066758.8442302,7.0
56,India,2003.0,3.0,21.0,96.96340084847817,1992066758.8442302,7.0
57,indonesia,2003.0,3.0,21.0,-52.2765991515327,1992066758.8442302,7.0
58,indonesia,2003.0,3.0,21.0,24.99340084846658,1992066758.8442302,7.0
59,indonesia,2003.0,3.0,21.0,25.61340084846668,1992066758.8442302,7.0
60,indonesia,2003.0,3.0,21.0,99.11340084847927,1992066758.8442302,7.0
61,indonesia,2003.0,3.0,21.0,0.6434008484654717,1992066758.8442302,7.0
62,israel,2003.0,3.0,21.0,2.683400848465458,1992066758.8442302,7.0
63,israel,2003.0,3.0,21.0,-50.186599151533116,1992066758.8442302,7.0
64,israel,2003.0,3.0,21.0,122.45340084849121,1992066758.8442302,7.0
65,israel,2003.0,3.0,21.0,103.11340084848132,1992066758.8442302,7.0
66,japan,2003.0,3.0,21.0,96.99340084847819,1992066758.8442302,7.0
67,japan,2003.0,3.0,21.0,-29.16659915153629,1992066758.8442302,7.0
68,japan,2003.0,3.0,21.0,-46.28659915153389,1992066758.8442302,7.0
69,japan,2003.0,3.0,21.0,-28.92659915153625,1992066758.8442302,7.0
70,kazakhstan,2003.0,3.0,21.0,-50.10659915153313,1992066758.8442302,7.0
71,kazakhstan,2003.0,3.0,21.0,61.79340084846175,1992066758.8442302,7.0
72,kazakhstan,2003.0,3.0,21.0,22.03340084846612,1992066758.8442302,7.0
73,kazakhstan,2003.0,3.0,21.0,59.80340084846215,1992066758.8442302,7.0
74,kazakhstan,2003.0,3.0,21.0,58.78340084846235,1992066758.8442302,7.0
75,kyrgyzstan,2003.0,3.0,21.0,117.06340084848846,1992066758.8442302,7.0
76,kyrgyzstan,2003.0,3.0,21.0,16.933400848465322,1992066758.8442302,7.0
77,kyrgyzstan,2003.0,3.0,21.0,-48.94659915153336,1992066758.8442302,7.0
78,kyrgyzstan,2003.0,3.0,21.0,-1.0465991515345294,1992066758.8442302,7.0
79,Lao PDR,2003.0,3.0,21.0,114.52340084848716,1992066758.8442302,7.0
80,Lao PDR,2003.0,3.0,21.0,36.033400848466876,1992066758.8442302,7.0
81,Lao PDR,2003.0,3.0,21.0,112.03340084848588,1992066758.8442302,7.0
82,Lao PDR,2003.0,3.0,21.0,-42.91659915153456,1992066758.8442302,7.0
83,malaysia,2003.0,3.0,21.0,77.36340084846815,1992066758.8442302,7.0
84,malaysia,2003.0,3.0,21.0,118.96340084848943,1992066758.8442302,7.0
85,malaysia,2003.0,3.0,21.0,63.5534008484614,1992066758.8442302,7.0
86,malaysia,2003.0,3.0,21.0,-32.48659915153664,1992066758.8442302,7.0
87,moldova,2003.0,3.0,21.0,20.543400848465886,1992066758.8442302,7.0
88,moldova,2003.0,3.0,21.0,85.72340084847242,1992066758.8442302,7.0
89,moldova,2003.0,3.0,21.0,69.59340084846417,1992066758.8442302,7.0
90,moldova,2003.0,3.0,21.0,13.963400848465218,1992066758.8442302,7.0
91,mongolia,2003.0,3.0,21.0,-31.1665991515366,1992066758.8442302,7.0
92,mongolia,2003.0,3.0,21.0,120.81340084849037,1992066758.8442302,7.0
93,mongolia,2003.0,3.0,21.0,13.933400848465219,1992066758.8442302,7.0
94,mongolia,2003.0,3.0,21.0,109.89340084848479,1992066758.8442302,7.0
95,mongolia,2003.0,3.0,21.0,68.35340084846354,1992066758.8442302,7.0
96,morocco,2003.0,3.0,21.0,64.49340084846156,1992066758.8442302,7.0
97,morocco,2003.0,3.0,21.0,103.31340084848142,1992066758.8442302,7.0
98,morocco,2003.0,3.0,21.0,-36.59659915153582,1992066758.8442302,7.0
99,morocco,2003.0,3.0,21.0,57.66340084846257,1992066758.8442302,7.0
100,Myanmar,2003.0,3.0,21.0,119.40340084848965,1992066758.8442302,7.0
101,Myanmar,2003.0,3.0,21.0,59.37340084846223,1992066758.8442302,7.0
102,Myanmar,2003.0,3.0,21.0,-43.206599151534505,1992066758.8442302,7.0
103,Myanmar,2003.0,3.0,21.0,-25.576599151535728,1992066758.8442302,7.0
104,Myanmar,2003.0,3.0,21.0,98.54340084847898,1992066758.8442302,7.0
105,nicaragua,2003.0,3.0,21.0,108.79340084848423,1992066758.8442302,7.0
106,nicaragua,2003.0,3.0,21.0,-63.006275226122085,1992066758.8442302,7.0
107,nicaragua,2003.0,3.0,21.0,-77.79627522612894,1992066758.8442302,7.0
108,nicaragua,2003.0,3.0,21.0,-77.55627522612882,1992066758.8442302,7.0
109,nicaragua,2003.0,3.0,21.0,-76.5462752261283,1992066758.8442302,7.0
110,panama,2003.0,3.0,21.0,-64.25627522612201,1992066758.8442302,7.0
111,panama,2003.0,3.0,21.0,-88.17627522613425,1992066758.8442302,7.0
112,panama,2003.0,3.0,21.0,-120.94627522615102,1992066758.8442302,7.0
113,panama,2003.0,3.0,21.0,-129.97627522615284,1992066758.8442302,7.0
114,Philippines,2003.0,3.0,21.0,-110.87627522614586,1992066758.8442302,7.0
115,Philippines,2003.0,3.0,21.0,-125.08627522615313,1992066758.8442302,7.0
116,Philippines,2003.0,3.0,21.0,-103.96627522614233,1992066758.8442302,7.0
117,Philippines,2003.0,3.0,21.0,-81.56627522613087,1992066758.8442302,7.0
118,qatar,2003.0,3.0,21.0,-94.43627522613745,1992066758.8442302,7.0
119,qatar,2003.0,3.0,21.0,-104.59627522614265,1992066758.8442302,7.0
120,qatar,2003.0,3.0,21.0,-92.60627522613652,1992066758.8442302,7.0
121,qatar,2003.0,3.0,21.0,-134.49627522614873,1992066758.8442302,7.0
122,russia,2003.0,3.0,21.0,-108.34627522614457,1992066758.8442302,7.0
123,russia,2003.0,3.0,21.0,-119.39627522615022,1992066758.8442302,7.0
124,South Korea,2003.0,3.0,21.0,-54.8862752261237,1992066758.8442302,7.0
125,South Korea,2003.0,3.0,21.0,-118.3862752261497,1992066758.8442302,7.0
126,taikistan,2003.0,3.0,21.0,-89.74627522613505,1992066758.8442302,7.0
127,taikistan,2003.0,3.0,21.0,180.9827529976397,1992066758.8442302,7.0
128,taikistan,2003.0,3.0,21.0,155.70275299766269,1992066758.8442302,7.0
129,thailand,2003.0,3.0,21.0,175.74275299764446,1992066758.8442302,7.0
130,thailand,2003.0,3.0,21.0,153.65275299766455,1992066758.8442302,7.0
131,uganda,2003.0,3.0,21.0,146.42275299767113,1992066758.8442302,7.0
132,uganda,2003.0,3.0,21.0,149.7427529976681,1992066758.8442302,7.0
133,uganda,2003.0,3.0,21.0,128.56275299768737,1992066758.8442302,7.0
134,uganda,2003.0,3.0,21.0,211.7627529976117,1992066758.8442302,7.0
135,ukraine,2003.0,3.0,21.0,155.71275299766268,1992066758.8442302,7.0
136,ukraine,2003.0,3.0,21.0,136.66275299768,1992066758.8442302,7.0
137,ukraine,2003.0,3.0,21.0,181.12275299763957,1992066758.8442302,7.0
138,ukraine,2003.0,3.0,21.0,138.6527529976782,1992066758.8442302,7.0
139,United Arab Emirate,2003.0,3.0,21.0,144.89275299767252,1992066758.8442302,7.0
140,United Arab Emirate,2003.0,3.0,21.0,181.4227529976393,1992066758.8442302,7.0
141,United Arab Emirate,2003.0,3.0,21.0,212.16275299761134,1992066758.8442302,7.0
142,United Arab Emirate,2003.0,3.0,21.0,169.07275299765053,1992066758.8442302,7.0
143,United Arab Emirate,2003.0,3.0,21.0,187.31275299763394,1992066758.8442302,7.0
144,USA,2003.0,3.0,21.0,209.5727529976137,1992066758.8442302,7.0
145,USA,2003.0,3.0,21.0,136.8827529976798,1992066758.8442302,7.0
146,USA,2003.0,3.0,21.0,205.02275299761783,1992066758.8442302,7.0
147,USA,2003.0,3.0,21.0,128.33275299768758,1992066758.8442302,7.0
148,USA,2003.0,3.0,21.0,-104.35627522614253,1992066758.8442302,7.0
149,uzbekistan,2003.0,3.0,21.0,-109.62627522614522,1992066758.8442302,7.0
150,uzbekistan,2003.0,3.0,21.0,-136.1862752261472,1992066758.8442302,7.0
151,uzbekistan,2003.0,3.0,21.0,264.5424290722501,1992066758.8442302,7.0
152,uzbekistan,2003.0,3.0,21.0,291.56242907222554,1992066758.8442302,7.0
153,Viet Nam,2003.0,3.0,21.0,250.68242907226272,1992066758.8442302,7.0
154,Viet Nam,2003.0,3.0,21.0,,1992066758.8442302,7.0
155,Viet Nam,2003.0,3.0,21.0,,1992066758.8442302,7.0
156,Viet Nam,2003.0,3.0,21.0,,1992066758.8442302,7.0
157,Viet Nam,2003.0,3.0,21.0,,1992066758.8442302,7.0
